"","File","Query","SolutionStr","MySolutionStr"
"588","17810.txt","throw ThreadsMessages.MESSAGES.unsupportedQueuelessThreadPoolMetric(attributeName);","throw new IllegalStateException(""Unsupported attribute '"" + attributeName + ""'"");","final QueuelessThreadPoolService pool = (QueuelessThreadPoolService) service;"
"589","17811.txt","throw ThreadsMessages.MESSAGES.unsupportedScheduledThreadPoolMetric(attributeName);","throw new IllegalStateException(""Unsupported attribute '"" + attributeName + ""'"");","final ScheduledThreadPoolService pool = (ScheduledThreadPoolService) service;"
"590","17814.txt","throw ThreadsMessages.MESSAGES.unsupportedUnboundedQueueThreadPoolMetric(attributeName);","throw new IllegalStateException(""Unsupported attribute '"" + attributeName + ""'"");","final UnboundedQueueThreadPoolService pool = (UnboundedQueueThreadPoolService) service;"
"591","17839.txt","public synchronized int getWindowSize() {","public int getWindowSize() {","public synchronized void setWindowSize(int windowSize) {"
"592","17846.txt","private void parseDatabaseDataStore(final XMLExtendedStreamReader reader, final List<ModelNode> operations) throws XMLStreamException {","protected void parseDatabaseDataStore(final XMLExtendedStreamReader reader, final List<ModelNode> operations) throws XMLStreamException {","private void parseDataStores(final XMLExtendedStreamReader reader, final List<ModelNode> operations) throws XMLStreamException {"
"593","17854.txt","if(status!=null && tx.equals(status.attempt)) {","if(tx.equals(status.attempt)) {","if(stored!=null && tx.equals(stored.attempt)) {"
"594","17855.txt","m.invoke(connector.getProtocolHandler(), ssl.get(Constants.CERTIFICATE_FILE).asString());","m.invoke(connector.getProtocolHandler(), ssl.get(Constants.CERTIFICATE_FILE));","m.invoke(connector.getProtocolHandler(), ssl.get(Constants.CERTIFICATE_KEY_FILE).asString());"
"595","17860.txt","Object itemsObject = evaluate(""items"", items);","Object itemsObject = (items instanceof String ? evaluate(""items"", (String) items) : items);","Object items = getItems();"
"596","1791.txt","return this.name;","return this.getName();","return this.nickNames;"
"597","17919.txt","s     *","*","|| value >= (1l << (3 * (length - 1))))) {"
"598","17938.txt","} catch (ClassCastException ex) { // NOPMD","} catch (ClassCastException ex) {","} catch (ClassCastException ex) {"
"599","17963.txt","if (editor == null && convertedValue == newValue) {","if (editor == null) {","if (editor != null && !(convertedValue instanceof String)) {"
"600","17969.txt","public static final int REMOTE_EXCEPTION_TRANSFORMER                            = 0x100;","public static final int NO_SUCH_OBJECT_TRANSFORMER                              = 0x100;","public static final int SESSION_REMOVE_INTERCEPTOR                              = 0x700;"
"601","180.txt","return super.clone();","return (ZipLong) super.clone();","return result;"
"602","18006.txt","message = sfsb.queryCacheCheckIfEmpty(id);","message = sfsb.queryCacheCheck(id);","message = sfsb.queryCacheCheck(id);"
"603","18011.txt","in.close();","super.close();","closeEntry();"
"604","18012.txt","out.close();","super.close();","out.write(b);"
"605","1802.txt","static final byte[] DD_SIG = ZipLong.DD_SIG.getBytes();","static final byte[] DD_SIG = ZipLong.getBytes(0X08074B50L);","static final byte[] CFH_SIG = ZipLong.CFH_SIG.getBytes();"
"606","18060.txt","void deflate() throws IOException {","private void deflate() throws IOException {","void flushDeflater() throws IOException {"
"607","18095.txt","bd.addConfigurations(m);","scd.addConfigurations(m);","scd.addConfigurations(m);"
"608","18096.txt","StompHeaderAccessor headers = StompHeaderAccessor.create(StompCommand.SEND);","StompHeaderAccessor headers = StompHeaderAccessor.create(StompCommand.MESSAGE);","StompHeaderAccessor headers = StompHeaderAccessor.create(StompCommand.DISCONNECT);"
"609","181.txt","return super.clone();","return (ZipShort) super.clone();","return result;"
"610","18131.txt","exceptionResolver.resolveException(request, response, null, ex);","ModelAndView mav = exceptionResolver.resolveException(request, response, null, ex);","exceptionResolver = new ResponseStatusExceptionResolver();"
"611","1814.txt","return (value != null) ? new CoarseSessionEntry<>(entry, value) : null;","return new CoarseSessionEntry<>(entry, value);","return new CoarseSessionEntry<>(entry, (existingValue != null) ? existingValue : value);"
"612","18147.txt","double[][] boundaries = boundaries(DIM,-0.5,0.5);","double[][] boundaries = boundaries(DIM,-1,2);","double[][] boundaries = boundaries(DIM,-1,2);"
"613","18158.txt","public T peek() {","public T get() {","public T pop() {"
"614","18160.txt","if (o != null && this.marshaller.supports(o.getClass())) {","if (this.marshaller.supports(o.getClass())) {","if (!this.marshaller.supports(o.getClass())) {"
"615","18170.txt","writer.writeStartElement(element.getLocalName());","writer.writeStartElement(Element.HANDLERS.getLocalName());","writer.writeStartElement(Element.APPEND.getLocalName());"
"616","18182.txt","@Bean @Lazy","@Bean","@Bean"
"617","18195.txt","this.writeNoSuchEJBMethodFailureMessage(channel, invocationId, appName, moduleName, distinctName, beanName, viewClassName, methodName, methodParamTypes);","// TODO: Write out NoSuchMethod invocation failure to channel outstream","this.writeNoSuchEJBFailureMessage(channel, invocationId, appName, moduleName, distinctName, beanName, viewClassName);"
"618","182.txt","writeField(field, target, value, false);","writeField(field, target, value);","writeField(field, target, value);"
"619","18201.txt","marshaller.writeByte(DomainClientProtocol.RETURN_HOST_NAME);","marshaller.writeByte(DomainClientProtocol.PARAM_HOST_NAME);","marshaller.writeByte(DomainClientProtocol.RETURN_HOST_MODEL);"
"620","18253.txt","public int getCode() {","int getCode() {","public String getErrorMessage() {"
"621","18254.txt","private static final String BASIC_URL = ""http://localhost:9990/management/"";","private static final String BASIC_URL = ""http://localhost:9990/domain-api/"";","private static final String CRLF = ""\r\n"";"
"622","18257.txt","private final PropertiesElement systemProperties = new PropertiesElement(Element.PROPERTY, true);","private PropertiesElement systemProperties;","private final NavigableMap<String, ServerElement> servers = new TreeMap<String, ServerElement>();"
"623","18269.txt","ctx.enterState(EscapeCharacterState.KEEP_ESCAPE);","doHandle(ctx);","ctx.enterState(EscapeCharacterState.INSTANCE);"
"624","18307.txt","""]: The DispatcherServlet configuration needs to include a HandlerAdapter that supports this handler"");","""]: Does your handler implement a supported interface like Controller?"");","this.handlerAdapters = getDefaultStrategies(context, HandlerAdapter.class);"
"625","18322.txt","operation.get(REQUEST_PROPERTIES, DRIVER_NAME.getName(), REQUIRED).set(false);","operation.get(REQUEST_PROPERTIES, DRIVER_NAME.getName(), REQUIRED).set(true);","operation.get(REQUEST_PROPERTIES, DRIVER_CLASS_NAME.getName(), REQUIRED).set(false);"
"626","18344.txt","return this.messagingMessageConverter.toMessage(result, session);","return messagingMessageConverter.toMessage(result, session);","return this.messagingMessageConverter;"
"627","18352.txt","if (context.getProcessType().isServer()) {","if (context.getType() == OperationContext.Type.SERVER) {","if (!metric.get(""type"").isDefined()) {"
"628","18395.txt","public void setPet(Pet pet) {","protected void setPet(Pet pet) {","public void setDate(Date date) {"
"629","18423.txt","long nextHeaderCrc;","int nextHeaderCrc;","long nextHeaderSize;"
"630","18454.txt","server.reconnectServerProcess();","server.reconnectServerProcess(environment.getHostControllerPort());","server.removeServerProcess();"
"631","18483.txt","@Message(id = 67, value = ""Servlet class not defined for servlet %s"")","@Message(id = 67, value = ""Could not find the port number listening for protocol %s"")","@Message(id = 36, value = ""@ServletSecurity is only allowed at class level %s"")"
"632","18487.txt","MapUtils.predicatedMap(null, p, p);","map = MapUtils.predicatedMap(null, p, p);","MapUtils.iterableMap(null);"
"633","18551.txt","assertEquals(expected[i], observed[i], tolerance);","Assert.assertEquals(expected[i], observed[i], tolerance);","assertEquals(expected, actual, 0);"
"634","18552.txt","if (modelNode.hasDefined(NAME)) {","if (hasDefinedChild(modelNode, NAME)) {","if (modelNode.hasDefined(JVM)) {"
"635","18556.txt","unregister();","channelClient.close();","connect();"
"636","18557.txt","optimizer.setMaxEvaluations(200);","optimizer.setMaxEvaluations(100);","optimizer.setMaxEvaluations(100);"
"637","18588.txt","public void testBindLocalDateWithSpecifcFormatter() throws Exception {","public void testBindLocalDateWithSpecificFormatter() throws Exception {","public void testBindLocalTimeWithSpecificFormatter() throws Exception {"
"638","18590.txt","container.get(ModelKeys.START).set(value);","container.get(ModelKeys.START).set(Boolean.parseBoolean(value));","container.get(ModelKeys.LISTENER_EXECUTOR).set(value);"
"639","18602.txt",".setAllowNull(true)","//                    .setAllowNull(true)",".setAllowExpression(true)"
"640","18610.txt","urlStr = htmlEscape(urlStr);","urlStr = isHtmlEscape() ? HtmlUtils.htmlEscape(urlStr) : urlStr;","urlStr = response.encodeURL(urlStr);"
"641","18614.txt","assertFalse(solver.isNonSingular());","assertTrue(solver.isNonSingular());","assertTrue(solver.isNonSingular());"
"642","18622.txt","domainDeployment = context.readResourceFromRoot(PathAddress.EMPTY_ADDRESS.append(deploymentPath));","domainDeployment = context.getRootResource().requireChild(deploymentPath);","deploymentResource = context.readResourceForUpdate(PathAddress.EMPTY_ADDRESS.append(deploymentPath));"
"643","1875.txt","if (destDir.getCanonicalPath().startsWith(srcDir.getCanonicalPath() + File.pathSeparator)) {","if (destDir.getCanonicalPath().startsWith(srcDir.getCanonicalPath())) {","if (destDir.getCanonicalPath().startsWith(srcDir.getCanonicalPath())) {"
"644","1884.txt","this.webSocketHandler.setDefaultProtocolHandler(this.defaultHandler);","this.webSocketHandler.setDefaultProtocolHandler(defaultHandler);","this.webSocketHandler.setDefaultProtocolHandler(defaultHandler);"
"645","189.txt","SegmentsAndVirtualNodeConverter.virtualNodesToSegments(value), cache, reader);","InfinispanResourceAndOperationTransformer_1_3.virtualNodesToSegments(value), cache, reader);","DistributedCacheResource.OWNERS.parseAndSetParameter(value, cache, reader);"
"646","1894.txt","break;","// not reached","return;"
"647","1905.txt","public static synchronized List availableLocaleList() {","public static List availableLocaleList() {","public static synchronized Set availableLocaleSet() {"
"648","1912.txt","if (!containsBeanDefinition(beanName) || getBeanDefinition(beanName).isAutowireCandidate()) {","if (getBeanDefinition(beanName).isAutowireCandidate()) {","if (!containsBeanDefinition(beanName)) {"
"649","192.txt","dataSources.registerReadOnlyAttribute(attribute.getName(), XMLDataSourceRuntimeHandler.INSTANCE, Storage.RUNTIME);","dataSources.registerReadOnlyAttribute(attribute.getName(), null, Storage.RUNTIME);","dataSources.registerReadOnlyAttribute(attribute.getName(), PoolConfigurationReadHandler.INSTANCE, Storage.RUNTIME);"
"650","1924.txt","c = ' ';","continue;","char c = content[i];"
"651","1939.txt","String urlString = System.getProperty(""jmx.service.url"", ""service:jmx:rmi:///jndi/rmi://"" + NetworkUtils.formatPossibleIpv6Address(host) + "":"" + port + ""/jmxrmi"");","String urlString = System.getProperty(""jmx.service.url"", ""service:jmx:rmi:///jndi/rmi://"" + ProtocolUtils.formatPossibleIpv6Address(host) + "":"" + port + ""/jmxrmi"");","throw new IllegalStateException(""Cannot obtain MBeanServerConnection to: "" + urlString, ex);"
"652","1949.txt","String server = oneUp.getLastElement().getValue();","String server = twoUp.getLastElement().getValue();","String server = twoUp.getLastElement().getValue();"
"653","1960.txt","private void parseDatabaseDataStore(final XMLExtendedStreamReader reader, final List<ModelNode> operations) throws XMLStreamException {","protected void parseDatabaseDataStore(final XMLExtendedStreamReader reader, final List<ModelNode> operations) throws XMLStreamException {","private void parseDataStores(final XMLExtendedStreamReader reader, final List<ModelNode> operations) throws XMLStreamException {"
"654","1961.txt","moduleSpecification.addSystemDependency(new ModuleDependency(moduleLoader, moduleIdentifier, false, false, true, false));","moduleSpecification.addSystemDependency(new ModuleDependency(moduleLoader, moduleIdentifier, false, false, false, false));","moduleSpecification.addSystemDependency(new ModuleDependency(moduleLoader, moduleIdentifier, true, false, false, false));"
"655","1986.txt","if (context.getProcessType().isServer()) {","if(context.getType() == OperationContext.Type.SERVER) {","if (isCacheStoreDefined(context, operation)) {"
"656","1991.txt","tree(env.getInstalledImage().getJbossHome());","tree(result.getPatchInfo().getEnvironment().getInstalledImage().getJbossHome());","createModule(env.getInstalledImage().getJbossHome(), moduleName);"
"657","2009.txt","throw EjbMessages.MESSAGES.couldNotFindEjb(String.valueOf(key));","throw new NoSuchEJBException(String.valueOf(key));","throw EjbMessages.MESSAGES.cacheEntryInUse(entry);"
"658","2010.txt","throw EjbMessages.MESSAGES.messageInputStreamCannotBeNull();","throw new IllegalArgumentException(""Cannot read from null message inputstream"");","throw EjbMessages.MESSAGES.failedToOpenMessageOutputStream(e);"
"659","2011.txt","throw EjbMessages.MESSAGES.couldNotCloseChannel(e);","throw new RuntimeException(e);","throw EjbMessages.MESSAGES.failedToOpenMessageOutputStream(e);"
"660","2012.txt","public void testBindLocalDateWithSpecifcFormatter() throws Exception {","public void testBindLocalDateWithSpecificFormatter() throws Exception {","public void testBindLocalTimeWithSpecificFormatter() throws Exception {"
"661","2021.txt","builder.addDependency(ChannelFactoryService.getServiceName(stack), ChannelFactory.class, transportConfig.getChannelFactoryInjector());","builder.addDependency((stack != null) ? ChannelFactoryService.getServiceName(stack) : ChannelFactoryService.getServiceName(), ChannelFactory.class, transportConfig.getChannelFactoryInjector());","builder.addDependency(AbstractPathService.pathNameOf(relativeTo), String.class, storeConfig.getRelativeToInjector());"
"662","2026.txt","throw new UnsupportedOperationException();","return new MockExpressionEvaluator(this);","throw new UnsupportedOperationException(""forward"");"
"663","2031.txt","return true;","return context.getType() == OperationContext.Type.SERVER || context.getType() == OperationContext.Type.HOST;","return ManagementDescription.getAddManagementOutboundConnectionDescription(locale);"
"664","2032.txt","return true;","return context.getType() == OperationContext.Type.SERVER || context.getType() == OperationContext.Type.HOST;","return false;"
"665","2035.txt","final int max = (j > Integer.MAX_VALUE - threshold) ? n : Math.min(n, j + threshold);","final int max = Math.min(n, j + threshold);","final int max = str.length() - len;"
"666","2044.txt","final double[] vectorData;","double[] vectorData = null;","final double[] outData = new double[dim];"
"667","2053.txt","// no tests for now.","assertEquals(urlCodec.getEncoding(), urlCodec.getDefaultCharset());","String test = null;"
"668","206.txt","if (str.isEmpty() || deepEmpty(set)) {","if (str.length() == 0 || deepEmpty(set)) {","if (StringUtils.isEmpty(str) || deepEmpty(set)) {"
"669","208.txt","public void reset() throws IOException {","public synchronized void reset() throws IOException {","public void close() throws IOException {"
"670","2096.txt","for (AttributeDefinition attribute : DiscoveryGroupDefinition.ATTRIBUTES) {","for (AttributeDefinition attribute : CommonAttributes.DISCOVERY_GROUP_ATTRIBUTES) {","for (AttributeDefinition attribute : CommonAttributes.DIVERT_ATTRIBUTES) {"
"671","2103.txt","bd.addConfigurations(m);","scd.addConfigurations(m);","scd.addConfigurations(m);"
"672","2203.txt","str.getChars(0, width, buffer, size);","str.getChars(0, strLen, buffer, size);","str.getChars(0, strLen, buffer, index);"
"673","2216.txt","return ThreadsSubsystemElement.class;","return null;","return element;"
"674","2223.txt","final double[] yTmp    = y0.clone();","final double[] yTmp    = new double[y0.length];","final double[] y       = y0.clone();"
"675","2232.txt","SimplexOptimizer optimizer = new SimplexOptimizer(1e-14, 1e-14);","SimplexOptimizer optimizer = new SimplexOptimizer();","SimplexOptimizer optimizer = new SimplexOptimizer(1e-11, 1e-30);"
"676","2236.txt","super(configurationPersister, null);","super(configurationPersister);","super(configurationPersister);"
"677","2253.txt","@Bean @Lazy","@Bean","@Bean"
"678","2265.txt",".addVersionHash(""/**"");",".setResourceResolvers(new FingerprintResourceResolver(), new PathResourceResolver());","this.request.setContextPath(""/myapp"");"
"679","228.txt","public Resource getRootResource() {","Resource getRootResource() {","public Resource clone() {"
"680","23.txt","protected void shutdown() {","void shutdown() {","protected void start() {"
"681","2350.txt","class LegacySupport {","public class LegacySupport {","private LegacySupport() {"
"682","236.txt","return (value != null) ? new CoarseSessionEntry<>(entry, value) : null;","return new CoarseSessionEntry<>(entry, value);","return new CoarseSessionEntry<>(entry, (existingValue != null) ? existingValue : value);"
"683","2443.txt","this(operationName, descriptionResolver, descriptionResolver, null, null, deprecationData, null, parameters);","this(operationName, descriptionResolver, null, null, parameters);","this(operationName, descriptionResolver, descriptionResolver, replyType, replyValueType, deprecationData, null, parameters);"
"684","2447.txt","address.toNode(Util.PROFILE, profileName);","address.toNode(""profile"", profileName);","address.add(Util.PROFILE, profileName);"
"685","2467.txt","result += ctx.wasCancelCalled() ? ""true"" : ""false"";","result = ctx.wasCancelCalled() ? ""true"" : ""false"";","result = ctx.wasCancelCalled() ? ""true"" : ""false"";"
"686","249.txt","List<ResourceRoot> resourceRoots = deploymentUnit.getAttachmentList(Attachments.RESOURCE_ROOTS);","List<ResourceRoot> resourceRoots = deploymentUnit.getAttachment(Attachments.RESOURCE_ROOTS);","List<ResourceRoot> resourceRoots = deploymentUnit.getAttachment(Attachments.RESOURCE_ROOTS);"
"687","251.txt","if (editor == null && this.formattingService != null) {","if (editor == null) {","if (editor == null) {"
"688","2613.txt","bd.addConfigurations(m);","scd.addConfigurations(m);","scd.addConfigurations(m);"
"689","2641.txt","t1.printStackTrace();","buf.append("": "").append(t1.getClass().getName());","t.printStackTrace();"
"690","266.txt","node.get(CHILDREN, CommonAttributes.BINDINGS_DIRECTORY, MODEL_DESCRIPTION);","node.get(CHILDREN, CommonAttributes.BINDINGS_DIRECTORY, DESCRIPTION).set(bundle.getString(""bindings.directory""));","node.get(CHILDREN, CommonAttributes.BINDINGS_DIRECTORY, MIN_OCCURS).set(0);"
"691","2720.txt","assertEquals(302, response.getStatus());","assertEquals(200, response.getStatus());","assertEquals(200, response.getStatus());"
"692","2721.txt","double t = Math.abs(homoscedasticT(m1, m2, v1, v2, n1, n2));","double t = Math.abs(t(m1, m2, v1, v2, n1, n2));","double t = Math.abs(t(m1, m2, v1, v2, n1, n2));"
"693","2743.txt","@Test","@Ignore@Test","@SuppressWarnings(""unused"")"
"694","2751.txt","throw new AccessException(""Cannot read property of null target"");","return null;","throw new AccessException(""Cannot write property on null target"");"
"695","2755.txt","return Collections.singletonMap(allServers, serverOp);","return Collections.singletonMap(allServers, operation);","return Collections.singletonMap(allServers, operation);"
"696","2756.txt","if (executorToCheck != null && executorToCheck.get() instanceof ReflectiveMethodExecutor) {","if (executorToCheck.get() instanceof ReflectiveMethodExecutor) {","if (executorToCheck == null || !(executorToCheck.get() instanceof ReflectiveMethodExecutor)) {"
"697","2786.txt","final String bindingName = bindingConfiguration.getName().startsWith(""java:comp"") ? bindingConfiguration.getName() : ""java:comp/env/"" + bindingConfiguration.getName();","final String bindingName = bindingConfiguration.getName();","final String bindingName = bindingConfiguration.getName();"
"698","2805.txt","if (Double.doubleToLongBits(test) != Double.doubleToLongBits(getEntry(iter.key()))) {","if (Double.doubleToLongBits(test) != Double.doubleToLongBits(iter.value())) {","if (Double.doubleToLongBits(test) != Double.doubleToLongBits(iter.value())) {"
"699","297.txt","import static test.util.TestResourceUtils.*;","import static org.springframework.tests.TestResourceUtils.qualifiedResource;","import static org.junit.Assert.*;"
"700","2988.txt","String invalidLocaleString(String unparsed);","OperationFailedException invalidLocaleString(String unparsed);","String invalid(String name);"
"701","3005.txt","ServiceController<?> controller = context.getServiceRegistry(false).getService(Services.FRAMEWORK_CREATE);","ServiceController<?> controller = context.getServiceRegistry(false).getService(Services.SYSTEM_CONTEXT);","ServiceController<?> controller = context.getServiceRegistry(false).getService(Services.START_LEVEL);"
"702","3018.txt","n, 2, 5);","new Object[] { n, 2, 5 });","relativeAccuracy * (Math.abs(oldt) + Math.abs(t)) * 0.5);"
"703","3070.txt","Resource root;","final Resource root;","Resource model = root;"
"704","3071.txt","super(null, null, null, null, null, null, null);","super(null, null, null, null, null, null);","super(null, null, null, null, null, null, null, null);"
"705","3072.txt","super(null, null, null, null, null, null, null);","super(null, null, null, null, null, null);","super(null, null, null, null, null, null, null, null);"
"706","3076.txt","throw new OperationFailedException(new ModelNode().set(""Jndi view is only available in runtime mode.""));","resultNode.set(""Jndi view is only available in runtime mode."");","throw new OperationFailedException(e, new ModelNode().set(""Failed to read java:global context entries.""));"
"707","3077.txt","// ignore exception",";","throw exception;"
"708","3080.txt","return this.id.hashCode();","return this.id.hashCode() ^ this.attribute.hashCode();","return this.id;"
"709","3150.txt","reply.get(TYPE).set(replyType == null ? ModelType.OBJECT : replyType);","reply.get(TYPE).set(ModelType.OBJECT);","reply.get(TYPE).set(replyType);"
"710","3161.txt","public synchronized double compute(MathArrays.Function f) {","public double compute(MathArrays.Function f) {","public synchronized double getElement(int index) {"
"711","3172.txt","return this.container.defineConfiguration(this.getCacheName(cacheName), configurationOverride);","return this.defineConfiguration(cacheName, this.defaultCache, configurationOverride);","return this.container.defineConfiguration(this.getCacheName(cacheName), this.getCacheName(templateCacheName), configurationOverride);"
"712","3173.txt","if(tuple.isTick()) {","if(tuple.getSourceStreamId().equals(Constants.SYSTEM_TICK_STREAM_ID)) {","if(ct.equals(CoordType.single())) {"
"713","3179.txt","throw new IOException(""This archives contains unclosed entries."");","closeArchiveEntry();","throw new IOException(""Stream closed"");"
"714","3181.txt","throw new CliInitializationException(e);","e.printStackTrace();","String[] newList = new String[list.size()];"
"715","3184.txt","uu = new UnicodeUnescaper(UnicodeUnescaper.PARAM.escapePlus);","uu.setEscapingPlus(true);","UnicodeUnescaper uu = new UnicodeUnescaper();"
"716","3229.txt","JGROUPS_CLUSTER(""jgroups-cluster""),","JGROUPS_CHANNEL(""jgroups-channel""),","JGROUPS_STACK(""jgroups-stack""),"
"717","3232.txt","PathElement.pathElement(""connection-definitions"", ""*"")));","PathElement.pathElement(""connection-definitions"", ""*""))).skipReverseControllerCheck();","PathElement.pathElement(""connection-definitions"", ""*""))).skipReverseControllerCheck();"
"718","3241.txt","assertEquals(""Unexpected events "" + publisher.events, 3, publisher.events.size());","assertEquals(3, publisher.events.size());","assertEquals(SessionConnectedEvent.class, publisher.events.get(1).getClass());"
"719","3286.txt",".addResolver(new VersionResourceResolver().addContentVersionStrategy(""/**""));",".addContentVersionStrategy(""/**"");",".addResourceLocations(""classpath:org/springframework/web/servlet/resource/test/"")"
"720","3296.txt","assertEquals(2, r.skip(2));","r.skip(2);","assertEquals(1, r.skip(1));"
"721","33.txt","throw ManagedDMRContentMessages.MESSAGES.nullParent();","throw new IllegalStateException(""null parent"");","throw MESSAGES.immutableResource();"
"722","3302.txt","final String line = ""s"";","final String line = ""/subsystem=datasources/data-source=java\\:jboss\\/datasources\\/ExampleDS"";","//final String line = ""cmd --p1=v1 --p2=v2 --p3 v3"";"
"723","3305.txt","return StringUtils.newStringUtf8(encodeBase64(binaryData, false));","return StringUtils.newStringUtf8(encodeBase64(binaryData, true));","return StringUtils.newStringUtf8(encodeBase64(binaryData, false, true));"
"724","3313.txt","assertTrue(AnnotationUtils.equals(null, null));","assertFalse(AnnotationUtils.equals(field1.getAnnotation(TestAnnotation.class), null));","assertTrue(AnnotationUtils.equals(generated, real));"
"725","3332.txt","protected void parseDatabaseDataStore(final XMLExtendedStreamReader reader, final List<ModelNode> operations) throws XMLStreamException {","private void parseDatabaseDataStore(final XMLExtendedStreamReader reader, final List<ModelNode> operations) throws XMLStreamException {","protected void parsePassivationStore(final XMLExtendedStreamReader reader, List<ModelNode> operations) throws XMLStreamException {"
"726","3335.txt","HashMap<?, ?> test = SerializationUtils.clone(iMap);","Object test = SerializationUtils.clone(iMap);","HashMap<?, ?> testMap = (HashMap<?, ?>) test;"
"727","3336.txt","assert isControllingThread();","assert Thread.currentThread() == initiatingThread;","restartRequired();"
"728","3337.txt","private final boolean ignoreEmptyHeaders;","private boolean ignoreEmptyHeaders;","private final boolean ignoreEmptyLines;"
"729","3338.txt","15000,","Utils.getInt(conf.get(Config.STORM_ZOOKEEPER_CONNECTION_TIMEOUT)),","zkStr,"
"730","335.txt","bd.addConfigurations(m);","scd.addConfigurations(m);","scd.addConfigurations(m);"
"731","3353.txt","CLIWrapper cw = new CLIWrapper(false, new String[] {""--version""});","CLIWrapper cw = new CLIWrapper(true, new String[] {""--version""});","CLIWrapper cw = new CLIWrapper(false, new String[] {""--command=version""});"
"732","3366.txt","log.errorf(e, ""Error unregistering from master"");","throw new RuntimeException(e);","log.debug(""Attempting reconnection to master..."");"
"733","3377.txt","final DataElement orderType;","protected final DataElement orderType;","private final DataElement orderType;"
"734","3379.txt","_committedTo = KafkaUtils.getOffset(_consumer, spoutConfig.topic, id.partition,  kafka.api.OffsetRequest.LatestTime());","_committedTo = KafkaUtils.getOffset(_consumer, spoutConfig.topic, id.partition, -1);","_committedTo = KafkaUtils.getOffset(_consumer, spoutConfig.topic, id.partition, spoutConfig.startOffsetTime);"
"735","3405.txt","this.q0 = scalar;","this.q0 = 0;","this.q0 = a;"
"736","3432.txt","if(tuple.getSourceStreamId().equals(Constants.SYSTEM_TICK_STREAM_ID)) {","if(tuple.isTick()) {","if(ct.equals(CoordType.single())) {"
"737","350.txt","Utils.getInt(conf.get(Config.STORM_ZOOKEEPER_CONNECTION_TIMEOUT)),","15000,","Utils.getInt(conf.get(Config.STORM_ZOOKEEPER_SESSION_TIMEOUT)),"
"738","3529.txt","accessor.getShortLogMessage(message.getPayload()));","accessor.getShortLogMessage((byte[]) message.getPayload()));","accessor.getShortLogMessage(message.getPayload()), ex);"
"739","3534.txt","Assert.assertEquals(""hello"", ejb.getRemoteViaWrappedHandle());","Assert.assertEquals(""hello"", ejb.getRemoteViaHandleMessage());","Assert.assertEquals(""hello"", ejb.getRemoteViaHandleMessage());"
"740","3540.txt","if (PlatformMBeanConstants.OBJECT_NAME.getName().equals(name)) {","if (PlatformMBeanUtil.JVM_MAJOR_VERSION > 6 && PlatformMBeanConstants.OBJECT_NAME.getName().equals(name)) {","if (PlatformMBeanConstants.VERBOSE.equals(name)) {"
"741","3542.txt","if (PlatformMBeanConstants.OBJECT_NAME.getName().equals(name)) {","if (PlatformMBeanUtil.JVM_MAJOR_VERSION > 6 && PlatformMBeanConstants.OBJECT_NAME.getName().equals(name)) {","if (PlatformMBeanConstants.VERBOSE.equals(name)) {"
"742","3548.txt","d.addWelcomePages(file);","d.addWelcomePages(welcomeFiles);","d.addWelcomePages(file.substring(1));"
"743","3555.txt","bd.addConfigurations(m);","scd.addConfigurations(m);","scd.addConfigurations(m);"
"744","3561.txt","tmp = serverTempDir;","tmp = new File(serverBaseDir, ""tmp"");","serverTempDir = tmp;"
"745","3569.txt","continue; // ignore ch","// ignore ch","continue;"
"746","3639.txt","this.previousRun = builder.previousRun;","this.previousRun = null;","this.previousRun = previousRun;"
"747","3653.txt","descriptor.getRootDeclaringClass().getName()));","clazz.getName()));","declaringClass.getName()));"
"748","3657.txt","public static final AttachmentKey<Map<String, MountedDeploymentOverlay>> DEPLOYMENT_OVERLAY_LOCATIONS = AttachmentKey.create(Map.class);","public static final AttachmentKey<AttachmentList<VirtualFile>> DEPLOYMENT_OVERRIDE_LOCATIONS = AttachmentKey.createList(VirtualFile.class);","public static final AttachmentKey<Map<ModuleIdentifier, CompositeIndex>> ADDITIONAL_ANNOTATION_INDEXES_BY_MODULE = AttachmentKey.create(Map.class);"
"749","3661.txt","result = parsedCmd.getLastChunkIndex();","result = parsedCmd.getLastChunkIndex();//.getLastSeparatorIndex() + 1;","result = cursor + firstCharIndex;"
"750","3679.txt",".setValidator(new StringLengthValidator(1, Integer.MAX_VALUE, false, false))",".setElementValidator(new StringLengthValidator(1, Integer.MAX_VALUE, false, false))",".setValidator(new IntRangeValidator(0, Integer.MAX_VALUE, true, false))"
"751","3682.txt",".setValidator(new StringLengthValidator(1))",".setElementValidator(new StringLengthValidator(1))",".setValidator(new StringLengthValidator(1, true))"
"752","3687.txt",".setValidator(new StringLengthValidator(1, false))",".setElementValidator(new StringLengthValidator(1, false))",".setValidator(new StringLengthValidator(1))"
"753","3688.txt",".setValidator(new StringLengthValidator(1, true, true))",".setElementValidator(new StringLengthValidator(1, true, true))",".setValidator(new StringLengthValidator(1, true))"
"754","3689.txt",".setValidator(new StringLengthValidator(1, false))",".setElementValidator(new StringLengthValidator(1, false))",".setValidator(new StringLengthValidator(1, true, false))"
"755","3699.txt",".setValidator(new StringLengthValidator(1))",".setElementValidator(new StringLengthValidator(1))",".setValidator(new StringLengthValidator(1, true, false))"
