"","File","Query","SolutionStr","MySolutionStr"
"569","5217.txt","if (oldChild == current && !(newChild instanceof PartPlaceholder)) {","if (oldChild == current) {","if (!(child instanceof PartPlaceholder)) {"
"570","5228.txt","if (!getPersistSize()) {","if (!getPersistBounds()) {","if (!getPersistLocation()) {"
"571","5231.txt","log(""getting note for "" + cm, ex);","ex.printStackTrace();","log( ""DefaultServlet: welcome file: ""  + welcomeFile);"
"572","5250.txt","{""button.add-operation"", ""Ajouter une Op\u00e9ration"" },","{""Add Operation"", ""Ajouter une Op\u00e9ration"" },","{""button.add-attribute"", ""Ajouter un Attribut"" },"
"573","5256.txt","System.out.print('\'');","System.out.print('\''); //$NON-NLS-1$","System.out.println('\'');"
"574","5267.txt","public void updateColors() {","private void updateColors() {","public void flushToolbarSize() {"
"575","5268.txt","public Test getTest() {","protected Test getTest() {","public TestDecorator(Test test) {"
"576","5275.txt","""menu"", ""composer"", ""menu_message_addressbook_tooltip""));","""menu"", ""composer"", ""menu_message_addressbook""));","""menu"", ""composer"", ""menu_message_addressbook""));"
"577","5310.txt","if (current.hasSubstitutedParameters() || original.typeVariables != Binding.NO_TYPE_VARIABLES) {","if (current != original) {","if (!compatibleMethod.isValidBinding() && exactMethod.typeVariables != Binding.NO_TYPE_VARIABLES) {"
"578","5311.txt","locator,","locator.handleFactory,","selector,"
"579","5333.txt","boolean isMac = org.eclipse.jface.util.Util.isMac();","boolean isMac = ""carbon"".equals(SWT.getPlatform()) || ""cocoa"".equals(SWT.getPlatform()); //$NON-NLS-1$ //$NON-NLS-2$","boolean columnPlaced = false;"
"580","5342.txt","new String[] {CharOperation.toString(compUnitDecl.compilationResult.compilationUnit.getPackageName())},","new String[0],","new String[] {CharOperation.toString(compUnitDecl.currentPackage.tokens)},"
"581","5348.txt","if (element instanceof ViewDescriptor && WorkbenchActivityHelper.filterItem(element)) {","if (WorkbenchActivityHelper.filterItem(element)) {","if (element instanceof IViewDescriptor) {"
"582","535.txt","return new OSTask[0];","return null;","return name;"
"583","536.txt","currentElement = ((IType)currentElement).getDeclaringType();","currentElement = currentElement.getParent();","currentElement = ((IType)currentElement).getType(new String(node.name));"
"584","5376.txt","if (this.inferredReturnType)","if (this.wasInferred)","if (this.wasInferred)"
"585","5385.txt","dbs.writeShort((short)tsig.getSignature().length);","dbs.writeShort((short)old.getSignature().length);","dbs.writeShort((short)old.getSignature().length);"
"586","5401.txt","}","};","};"
"587","5407.txt","} else if (c==9 || c==10 || c==13 || c>=32){","} else {","} else {"
"588","5422.txt","public Compiler batchCompiler;","protected Compiler batchCompiler;","public CompilerOptions compilerOptions; // read-only"
"589","5436.txt","if (sub != null && sub.cannotReturn()) break;//TODO: should move below next line?","if (sub != null && sub.cannotReturn()) break;//TODO: should move below?","// process the finally block (subroutine) - create a context for the subroutine"
"590","5438.txt","if (typeBinding == null)","if (typeBinding == null || !typeBinding.isAnnotation())","if (typeBinding == null) return false;"
"591","5439.txt","if (pattern == null) return ACCURATE_MATCH; // null is as if it was ""*""","if (pattern == null || pattern.length == 0) return ACCURATE_MATCH; // null is as if it was ""*""","if (pattern == null) return true; // null is as if it was ""*"""
"592","5440.txt","if (root.getKind() == IPackageFragmentRoot.K_BINARY) {","if (root.getKind() == IPackageFragmentRoot.K_BINARY && indexManager != null) {","if (roots[i].getKind() == IPackageFragmentRoot.K_SOURCE) {"
"593","5457.txt","event.doit = true;","event.doit = false;","event.doit = false;"
"594","5458.txt","typeDecl.setName(typeName);","typeDecl.setName(this.ast.newSimpleName(new String(typeDeclaration.name)));","methodDecl.setName(methodName);"
"595","5460.txt","public int position;","private int position;","public AstNode found;"
"596","5463.txt","{""button.add-operation"", ""A\u00f1adir operaci\u00f3n"" },","{""Add Operation"", ""A\u00f1adir operaci\u00f3n"" },","{""button.add-attribute"", ""A\u00f1adir atributo"" },"
"597","5466.txt","} else if (rhsType.needsUncheckedConversion(lhsType)) {","} else if (rhsType.isRawType() && (lhsType.isBoundParameterizedType() || lhsType.isGenericType())) {","} else if (someExpression instanceof FieldReference) {"
"598","5482.txt","visitor.visit(this);","boolean visitChildren = visitor.visit(this);","visitor.endVisit(this);"
"599","5503.txt","class HelpIndex","public class HelpIndex","public HelpIndex()"
"600","5530.txt","this.tab_size = 8;","this.tab_size = 4;","this.tab_size = 4;"
"601","5550.txt","public void traverse(ASTVisitor visitor, ClassScope scope) {","public void traverse(ASTVisitor visitor, CompilationUnitScope scope) {","public void traverse(ASTVisitor visitor, BlockScope scope) {"
"602","5552.txt","super.println( str );","super.print( str );","super.print( str );"
"603","5556.txt","if (currentArg.equals(""-classpath"") || currentArg.equals(""-cp"")) { //$NON-NLS-1$ //$NON-NLS-2$","if (currentArg.equals(""-classpath"") || currentArg.equals(""-cp"")) { //$NON-NLS-1$","if (currentArg.equals(""-version"") || currentArg.equals(""-v"")) { //$NON-NLS-1$ //$NON-NLS-2$"
"604","5567.txt","&& !primary.equals(t.getMessage())) {","&& !primary.equals(status.getMessage())) {","&& !primary.equals(status.getMessage())) {"
"605","5585.txt","typeName = org.eclipse.jdt.internal.core.util.Util.getNameWithoutJavaLikeExtension(typeName);","typeName = typeName.substring(0, typeName.length() - 5); //TODO (jerome) should not hardcode extension length","return new CreatePackageDeclarationOperation(element.getElementName(), (ICompilationUnit) dest);"
"606","5591.txt","if (child instanceof IParent) {","if (child.getElementType() == TYPE) {","if (this instanceof IParent) {"
"607","5615.txt","scope.problemReporter().localVariableRedundantCheckOnNull(local, reference);","scope.problemReporter().localVariableCanOnlyBeNull(local, reference);","scope.problemReporter().localVariableCannotBeNull(local, reference);"
"608","5618.txt","LOG.info(body);","System.out.println(body);","viewerPlugin.view(body);"
"609","5619.txt","public static char[] toAnchor(char[] methodSignature, char[] methodName, boolean isVargArgs) {","private static char[] toAnchor(char[] methodSignature, char[] methodName, boolean isVargArgs) {","public static String toAnchor(char[] methodSignature, String methodName, boolean isVarArgs) {"
"610","5646.txt","public void generateCode(ClassFile classFile) {","private void generateCode(ClassFile classFile) {","public void generateCode(ClassScope classScope, ClassFile classFile) {"
"611","5657.txt","super.mouseClicked(me);","super.mousePressed(me);","super.mouseExited(me);"
"612","5664.txt","}else serverNameMB.setString( hostHeader);","}","}"
"613","5687.txt","if (_target != newTarget)","if ((_target != null) && (newTarget != null) && (newTarget.getClass().equals(_target.getClass())))","if (newTarget != _target)"
"614","5702.txt","Class[] namesToWatch = { MStereotype.class,MNamespace.class,MClassifier.class, MAssociationEnd.class };","Class[] namesToWatch = { MStereotype.class,MNamespace.class,MClassifier.class };","Class[] namesToWatch = { MStereotype.class,MNamespace.class,MClassifier.class };"
"615","5709.txt","return addMessage(in, null);","return null;","return message;"
"616","5715.txt","if (level != null && enclosesElement && matchedContainer) {","if (level != null && matchedContainer) {","if (level != null && enclosesElement) {"
"617","5716.txt","throw new IllegalArgumentException(""Completion requestor cannot be null""); //$NON-NLS-1$","Assert.isTrue(false, ""completion requestor cannot be null""); //$NON-NLS-1$","throw new IllegalArgumentException(Util.bind(""hierarchy.nullProject"")); //$NON-NLS-1$"
"618","5727.txt","+ (reference[position++] & 0xFF);","+ ((long) (reference[position++] & 0xFF));","+ (reference[position] & 0xFF);"
"619","5776.txt","System.out.println(""valueForPathChanged NavPerspective"");","// needs-more-work","NavPerspective machineToState = new NavPerspective(""States of Class"");"
"620","5780.txt","cls.remove();","UmlFactory.getFactory().getCore().removeClassifier(cls);","end.setType(classifier);"
"621","5790.txt","setVisible(true);","show();","addKeyListener(listener);"
"622","5791.txt","private final static String M1_NAME = ""M1""; //$NON-NLS-1$","public final static String M1_NAME = ""M1""; //$NON-NLS-1$","private final static String ALT_NAME = ""ALT""; //$NON-NLS-1$"
"623","5800.txt","scope.problemReporter().duplicateCase((CaseStatement) statements[i], cst); //TODO: (olivier) could improve diagnosis to indicate colliding case","scope.problemReporter().duplicateCase((CaseStatement) statements[i], cst); //TODO: (philippe) could improve diagnosis to indicate colliding case","//use instanceof in order not to polluate classes with behavior only needed for printing purpose."
"624","5803.txt","return this.findReferences; // need to check resolved default constructors and explicit constructor calls","return false;","return this.currentTag; // find them all"
"625","5820.txt","sb.append(""\t; expire\n\t\t\t\t\t"");","sb.append(""\t; refresh\n\t\t\t\t\t"");","sb.append(""\t; serial\n\t\t\t\t\t"");"
"626","5823.txt","if(element instanceof WorkbenchPreferenceGroup)","else","if(element instanceof WorkbenchPreferenceNode)"
"627","5833.txt","if (this.pattern.findReferences || this.pattern.fineGrain != 0)","if (this.pattern.findReferences)","if (this.pattern.findReferences)"
"628","5834.txt","if (type.isValidBinding())","if (type.isValidBinding() && !type.isParameterizedType())","if (temp.isValidBinding()) {"
"629","5836.txt","false, // never consider opt false case for DO loop, since break can always occur (47776)","isConditionOptimizedFalse,","// May loose some local variable initializations : affecting the local variable attributes"
"630","5851.txt","public char[] getCurrentTokenSource() {","public final char[] getCurrentTokenSource() {","public char[] getCurrentTokenSourceString() {"
"631","5857.txt","throw new SelectionNodeFound(binding);","throw new SelectionNodeFound(this, binding);","throw new SelectionNodeFound();"
"632","586.txt","static class Word","public static class Word","static class Occurrence"
"633","5875.txt","return new ClassesRequest(classes);","return new ClassesRequest(collectionName, classes);","return new ClassRequest(clazz);"
"634","5876.txt","return null;","throw new IllegalStateException(internalObject.toString()); // should never get here","return true;"
"635","5882.txt","if ((local.tagBits & TagBits.IsArgument) != 0) {","if (local.isArgument) {","if ((label.tagBits & Label.WIDE) != 0) {"
"636","5884.txt","if (!aType.isInterface()) { // class or enum","if (aType.isClass()) {","if (aType.isInterface()) {"
"637","5890.txt","logger.debug(""Popping layout from the object stack"");","logger.warn(""Popping layout from the object stack"");","logger.debug(""Pushing layout on top of the object stack."");"
"638","5895.txt","windowShell.setActive();","windowShell.forceFocus();","windowShell.setMinimized(false);"
"639","5896.txt","buffer.append(separator);","buffer.append('.');","buffer.append(array[i]);"
"640","5908.txt","return;","this.scribe.space();","return true;"
"641","5909.txt","super.digesterPush(text);","super.body(text);","super(digester, state);"
"642","5911.txt","static final int TableSize = 30, InternalTableSize = 6; //30*6 =210 entries","static final int TableSize = 30, InternalTableSize = 6; //40*7 =280 entries","0,"
"643","5913.txt","return; // do not repoort against subsequent inherited methods","continue nextMethod;","return false; // all other type bindings are identical"
"644","5917.txt","return descriptor.isEditable();","return descriptor.getPageClassName() != null;","return descriptor.getIcon();"
"645","5937.txt","// per construction, otherBounds is never null","if (otherBounds == null) return false;","return super.visit(conditionalExpression, blockScope);"
"646","5941.txt","ProgressManagerUtil.getDefaultParent());","null);","ProgressManager.PROGRESS_FOLDER);"
"647","5942.txt","getMethodResult().removeAll(obj, Issue.GET_MODULE_ATTRVALUES_MAP);","getMethodResult().remove(obj, Issue.GET_MODULE_ATTRVALUES_MAP);","getMethodResult().removeAll(obj, Issue.GET_PARENTS);"
"648","5946.txt","type.name = CharOperation.NO_CHAR;","type.name = TypeDeclaration.ANONYMOUS_EMPTY_NAME;","type.name = typeInfo.getName();"
"649","5948.txt","element.remove();","UmlFactory.getFactory().remove(element);","pkg.addOwnedElement(element);"
"650","595.txt","if (type == null || this.pattern.selector == null) return false;","if (type == null) return false;","if (type == null) return; // case of a secondary type"
"651","5959.txt","if (workbenchWindow instanceof WorkbenchWindow) {","if (workbenchWindow != null) {","if (windows[nX] instanceof WorkbenchWindow) {"
"652","5964.txt","""install"",roster);","""remove"",roster);","""update"",roster);"
"653","5972.txt","return new String(fDocument, fBodyRange[0], fBodyRange[1] + 1 - fBodyRange[0]);","return new String(CharOperation.subarray(fDocument, fBodyRange[0], fBodyRange[1] + 1));","buffer.append(fDocument, fBodyRange[0], fBodyRange[1] + 1 - fBodyRange[0]);"
"654","5979.txt","return ((IMember)parent).getType(getName(), 1); // TODO (jerome) compute occurenceCount","return ((IMember)parent).getType(getName(), 1); // TODO: (jerome) compute occurenceCount","return ((IType)parent).getType(getName());"
"655","599.txt","new String(returnClassName(Signature.toCharArray(typeName), '.', mode)),","new String(returnClassName(Signature.toCharArray(typeName), '.', COMPACT)),","new String(returnClassName(Signature.toCharArray(typeName), '.', mode))"
"656","5990.txt","synthetics[FIELD].size());","0);","synthetics[FIELD].size());"
"657","5993.txt","List getActivityPatternBindingDefinitions();","List getPatternBindingDefinitions();","List getActivityDefinitions();"
"658","5998.txt","if (WorkbenchPlugin.getDefault().isDebugging()) {","if (WorkbenchPlugin.DEBUG) {","if (WorkbenchPlugin.getDefault() != null) {"
"659","6013.txt","return this.getTypeBinding(retrieveCompilationUnitScope(expression).getJavaLangClass());","return this.getTypeBinding(classLiteralAccess.targetType);","return this.getTypeBinding(stringLiteral.literalType(this.retrieveEnclosingScope(expression)));"
"660","6027.txt","Context ctx=contextM.createContext();","Context ctx=new Context();","Context ctx=(Context)ctxE.nextElement();"
"661","6038.txt","return this.resolvedType = receiverType;","return receiverType;","return this.resolvedType = anonymousType.binding;"
"662","6040.txt","CacheWrapper.this.flushCache();","flushCache();","cache.setControl(children[0]);"
"663","6046.txt","if (p != null && p != currentProject && !projects.contains(p))","if (p != null && !projects.contains(p))","if (p != null && !projects.contains(p))"
"664","6101.txt","JavadocSingleTypeReference param = this.paramTypeParameters[i];","JavadocSingleNameReference param = this.paramReferences[i];","JavadocSingleNameReference param = this.paramReferences[i];"
"665","6104.txt","if (itsInterfaces != NoSuperInterfaces && itsInterfaces != null) { // can be null while connecting hierarchies","if (itsInterfaces != NoSuperInterfaces) {","if (itsInterfaces != NoSuperInterfaces) {"
"666","6106.txt","return getCompilationUnit().getParent().getSchedulingRule();","return getParentElement().getSchedulingRule();","return getCompilationUnitFor(getParentElement());"
"667","6125.txt","if (exclusionPatterns != null) {","exclusionCheck: if (exclusionPatterns != null) {","if (charset != null) {"
"668","6135.txt","return """"/*nonNLS*/;","return """"; //$NON-NLS-1$","return extension;"
"669","614.txt","// TODO: toolDone() seemed to be called twice/too often","System.out.println(""ToolDone"");","toolDone();"
"670","6145.txt","setVisible(true);","show();","super(frame,title,true);"
"671","6163.txt","visitor.visit(this);","boolean visitChildren = visitor.visit(this);","visitor.endVisit(this);"
"672","6181.txt","if (currentChar != ' ' && !ScannerHelper.isWhitespace(currentChar)) {","if (currentChar != ' ' && !CharOperation.isWhitespace(currentChar)) {","if (currentChar == ' ' || ScannerHelper.isWhitespace(currentChar)) {"
"673","6185.txt","headerList.add(strippedHeader, strippedHeader.get(""columba.pop3uid""));","super.add(strippedHeader);","headerList.add(h, h.get(""columba.pop3uid""));"
"674","6189.txt","setVisible(true);","show();","super.dispose();"
"675","6192.txt","sv.remove();","UmlFactory.getFactory().getStateMachines().removeStateVertex(sv);","navigateTo(container);"
"676","6197.txt","if (initializationType.needsUncheckedConversion(fieldType)) {","if (initializationType.isRawType() && (fieldType.isBoundParameterizedType() || fieldType.isGenericType())) {","if (!initializationScope.referenceCompilationUnit().compilationResult.hasSyntaxError()) {"
"677","6222.txt","public PackageBinding defaultPackage;","PackageBinding defaultPackage;","packageBinding = defaultPackage;"
"678","6234.txt","int blockLoc = summary.getFirstBlockLocationForPrefix(prefix, isCaseSensitive);","int blockLoc = summary.getFirstBlockLocationForPrefix(prefix);","int blockLoc = summary.getFirstBlockLocationForPrefix(prefix);"
"679","6258.txt","public void initializeFromStorage() {","private void initializeFromStorage() {","public void remove(String id) {"
"680","6268.txt","buttonComposite.setLayoutData(data);","composite.setData(data);","buttonComposite.setLayout(layout);"
"681","6279.txt","addField(nameField,1,0,0);","addField(new UMLTextField(this,new UMLTextProperty(mclass,""name"",""getName"",""setName"")),1,0,0);","addField(_modifiersPanel,4,0,0);"
"682","6280.txt","TraceCarol.error(""LmiInitialContext.resolveObject()"", e);","e.printStackTrace();","TraceCarol.error(""LmiInitialContext.createSubcontext(\""""+name+""\""): Not supported"");"
"683","6297.txt","if(!Character.isLetterOrDigit(ch) && noWordSep.indexOf(ch) == -1)","if(!Character.isLetter(ch) && noWordSep.indexOf(ch) == -1)","if(!Character.isLetterOrDigit(c) && noWordSep.indexOf(c) == -1)"
"684","6299.txt","if (index > 0 && currentMethod.declaringClass.isInterface()) // only check when inherited methods are from interfaces","if (currentMethod.declaringClass.isInterface())","if (index > 0)"
"685","6308.txt","return buffer.toString();","return new String(buffer.toString());","return super.toString();"
"686","6310.txt","setVisible(true);","show();","super(pe.getClass().getName());"
"687","6318.txt","setVisible(true);","show();","addKeyListener(listener);"
"688","6326.txt","{""button.add-operation"", ""Add Operation"" },","{""Add Operation"", ""Add Operation"" },","{""button.add-attribute"", ""Add Attribute"" },"
"689","6330.txt","default : //octal (well-formed: ended by a ' )","default : //octal (welled formed, i.e. ended by a ' )","value = (char) number;"
"690","6331.txt","}","};","};"
"691","6344.txt","value = ec.subst(value);","value = ec.subst(OptionConverter.convertSpecialChars(value));","value = value.trim();"
"692","635.txt","header.getFlags().setRecent(true);","header.set(""columba.flags.recent"", Boolean.TRUE);","headerCache.getHeaderList().remove(it.next());"
"693","6360.txt","public static class ExternalContributor implements IEditorActionBarContributor {","protected static class ExternalContributor implements IEditorActionBarContributor {","private static class EditorContribution extends BasicContribution {"
"694","6363.txt","((Link) taskEntryIterator.next()).setBackground(color);","((Link) taskEntryIterator.next()).setBackground(actionBar.getDisplay().getSystemColor(SWT.COLOR_CYAN));","((Link) taskEntryIterator.next()).setForeground(color);"
"695","6372.txt","import org.columba.addressbook.model.BasicModelPartial;","import org.columba.addressbook.model.HeaderItemPartial;","import org.columba.addressbook.model.IBasicModelPartial;"
"696","6378.txt","output.append('<');","output.append('<');//$NON-NLS-1$","output.append('>');"
"697","6384.txt","if (next.original().typeVariables != Binding.NO_TYPE_VARIABLES) {","if (current instanceof ParameterizedGenericMethodBinding) {","if (original.typeVariables != Binding.NO_TYPE_VARIABLES)"
"698","6390.txt","WorkbenchPlugin.log(""Reference item "" + refId + "" not found for action "" + item.getId()); //$NON-NLS-1$ //$NON-NLS-2$","WorkbenchPlugin.log(""Reference item "" + refId + "" not found for action "" + item.getId()); //$NON-NLS-1$","WorkbenchPlugin.log(""Action Set is empty: "" + set.getDesc().getId()); //$NON-NLS-1$"
"699","64.txt","if (test > 0) { //traditional and javadoc comment","if (test > 0) { //traditional and annotation comment","if (test > 0) {"
"700","6403.txt","if (fields[fieldI] != null) {","if (fields[fieldI] != null) { // TODO (olivier) should improve to deal with enumconstants using ',' separator","if (fields != null) {"
"701","6407.txt","log().error(e);","getCategory().error(e);","log().error(mesg, e);"
"702","6408.txt","out.print("" (""/*nonNLS*/);","out.println("" (""/*nonNLS*/);","out.print("" ""/*nonNLS*/);"
"703","6420.txt","output.append('<');","output.append('<');//$NON-NLS-1$","output.append('>');"
"704","6422.txt","codeStream.invoke(Opcodes.OPC_invokestatic, this.synthetic, null /* default declaringClass */);","codeStream.invokestatic(this.synthetic);","codeStream.lookupswitch(defaultLabel, this.constants, sortedIndexes, caseLabels);"
"705","6452.txt","getObservable().resetCurrent();","getObservable().setCurrent(0);","getObservable().setCurrent(i);"
"706","6457.txt","if (!list.isDisposed() && ji.remove())","if (ji.remove())","if (list.isDisposed())"
"707","6461.txt","this(-1);","this(Header.randomID());","this();"
"708","6475.txt","if (methodBinding.isConstructor() && (methodBinding.tagBits & TagBits.ClearPrivateModifier) != 0) {","if ((methodBinding.tagBits & TagBits.ClearPrivateModifier) != 0) {","if (methodBinding.isAbstract() && methodBinding.declaringClass.isInterface()) {"
"709","6488.txt","throw new JavaModelException(e, IJavaModelStatusConstants.ELEMENT_DOES_NOT_EXIST);","throw new JavaModelException(e);","throw new JavaModelException(e, IJavaModelStatusConstants.IO_EXCEPTION);"
"710","6496.txt","colors.remove(definition);","return;","colors.add(definition);"
"711","650.txt","if( scontainer==null ) {","if( m==null ) {","if (container == null) {"
"712","6504.txt","setVisible(true);","show();","osTask.setEnabled(true);"
"713","6507.txt","return context.getEngineHeader();","return contextM.getServerInfo();","return context.getInitParameter(name);"
"714","6511.txt","context.fireTestIgnored();","context.addFailedAssumption(e);","context.fireTestStarted();"
"715","6512.txt","IExtensionRegistry registry = Platform.getExtensionRegistry();","IPluginRegistry registry = Platform.getPluginRegistry();","IExtension[] extensions = xpt.getExtensions();"
"716","6526.txt","typeBinding = qNameRef.actualReceiverType;","typeBinding = ((FieldBinding)binding).declaringClass;","typeBinding = ((TypeReference)reference).binding;"
"717","6538.txt","RunNotifier fNotifier;","private RunNotifier fNotifier;","fNotifier= new RunNotifier();"
"718","6539.txt","static {","{","static boolean filterLine(String line) {"
"719","6543.txt","return treeArea;","return stackComposite;","return tree;"
"720","6546.txt","output.append('<');","output.append('<');//$NON-NLS-1$","output.append('.');"
"721","6547.txt","int startOffset= getScanner().getTokenEndOffset(ITerminalSymbols.TokenNameLPAREN, pos);","int startOffset= getScanner().getTokenEndOffset(ITerminalSymbols.TokenNameLESS, pos);","int startOffset= getScanner().getTokenEndOffset(ITerminalSymbols.TokenNameRPAREN, pos);"
"722","6549.txt","public void mouseReleased(MouseEvent evt)","public void mouseClicked(MouseEvent evt)","public void mouseEntered(MouseEvent evt)"
"723","6550.txt","""VariableDeclaratorId"",//$NON-NLS-1$","""VariableDeclaratorId"",","""VariableDeclarator"",//$NON-NLS-1$"
"724","6569.txt","typeDecl.setName(typeName);","typeDecl.setName(this.ast.newSimpleName(new String(typeDeclaration.name)));","methodDecl.setName(methodName);"
"725","6570.txt","}","};","};"
"726","6571.txt","((PackageBinding)this.recipient).tagBits |= tagBits;","// TODO (philippe) need support for package annotations","((FieldBinding)this.recipient).tagBits |= tagBits;"
"727","6577.txt","if (!isJavadoc && this.startPosition <= this.cursorLocation && this.cursorLocation < this.currentPosition-1){","if (this.startPosition <= this.cursorLocation && this.cursorLocation < this.currentPosition-1){","if (this.startPosition <= this.cursorLocation && this.cursorLocation < this.currentPosition-1){"
"728","6592.txt","addField(Argo.localize(""UMLMenu"", ""label.container""), containerScroll);","addField(Argo.localize(""UMLMenu"", ""label.namespace""), namespaceScroll);","addField(Argo.localize(""UMLMenu"", ""label.incoming""), incomingScroll);"
"729","6601.txt","if (method.isBinary()) {","if (((IMember) method).isBinary()) {","if (!type.isBinary()) {"
"730","6607.txt","if (oldContainer != null && oldContainer.equals(respectiveContainers[i])){","if (oldContainer != null && oldContainer.equals(respectiveContainers[i])){// TODO: (philippe) could improve to only compare entries","if (initializerID != null && initializerID.equals(containerID)){"
"731","6609.txt","return request.serverName().toString();","return request.getServerName();","return request.scheme().toString();"
"732","662.txt","public void resetSize() {","protected void resetSize() {","public void targetReasserted() {"
"733","6627.txt","usedMemCol = display.getSystemColor(SWT.COLOR_INFO_BACKGROUND);","usedMemCol = new Color(display, 255, 255, 175);  // light yellow","bgCol = display.getSystemColor(SWT.COLOR_WIDGET_BACKGROUND);"
"734","6630.txt","public int getHistoryLimit() throws Exception","private int getHistoryLimit() throws Exception","public boolean isHistoryLong(int limit) throws Exception"
"735","6638.txt","return 500;","return 0;","return 0;"
"736","6642.txt","ProgressManager.getInstance().shutdown();","Platform.getJobManager().shutdown();","return ProgressManager.getInstance();"
"737","6644.txt","return defaultLevel;","return FINEST;","return list;"
"738","666.txt","if (deltaBuilder.delta != null) {","if ((deltaBuilder.delta != null) && (deltaBuilder.delta.getAffectedChildren().length > 0)) {","if (deltaBuilder != null){"
"739","667.txt","CharOperation.concatWith(bounds[j].getParameterizedTypeName(), '.');","CharOperation.concatWith(bounds[i].getParameterizedTypeName(), '.');","CharOperation.concatWith(bounds[i].getParameterizedTypeName(), '.');"
"740","6676.txt","public static Map getDescriptors() {","static Map getDescriptors() {","public static void dispose() {"
"741","6680.txt","// available ID","System.out.println(""Missing problem message : "" + i); //$NON-NLS-1$","} else {"
"742","6699.txt","recordComment(TokenNameCOMMENT_LINE);","recordComment(TokenNameCOMMENT_LINE);  // REVIEW why do we record comments while jumping over (method bodies)?","recordComment(token);"
"743","67.txt","if (sortPolarity != null && sortPolarity.equals(""desc""))","if (sortPolarity.equals(""desc""))","if (sortColumn != null && sortColumn.equals(""desc""))"
"744","6714.txt","sourceTypes,//sourceTypes[0] is always toplevel here","sourceTypes,","source,"
"745","6716.txt","return getImportContainer().getImport(importName);","return new ImportDeclaration((ImportContainer)getImportContainer(), importName);","return getImport(importName);"
"746","6720.txt","statusMessageLabel.setText("" \n ""); //$NON-NLS-1$","statusMessageLabel.setText("" \n "");","statusMessageLabel.setText("""");//$NON-NLS-1$"
"747","6736.txt","modeLine.setText(mode.format()); //$NON-NLS-1$","modeLine.setText(""carbon"".equals(SWT.getPlatform()) ? KeySupport.formatOSX(mode) : mode.format()); //$NON-NLS-1$","String extensionPoint = ""startup""; //$NON-NLS-1$"
"748","6754.txt","return Status.OK_STATUS;","return new Status(IStatus.OK, PlatformUI.PLUGIN_ID, 0, """", null); //$NON-NLS-1$","return result;"
"749","6758.txt","return """";","return new String();","return true;"
"750","6768.txt","System.err.println(getStracktraceAsString(new Exception()));","LOG.info(getStracktraceAsString(new Exception()));","System.err.println(c.toString());"
"751","6779.txt","IIOPCosNaming.this.stop();","stop();","TraceCarol.debugJndiCarol(""IIOPCosNaming.start() on port:"" + port);"
"752","6786.txt","if( ctx.getDebug() >0) ctx.log(""Calling "" + parentC + ""."" + parentM  +"" "" + obj  );","ctx.log(""Calling "" + parentC + ""."" + parentM  +"" "" + obj  );","if( ctx.getDebug() > 0 ) ctx.log(""pop "" + tag + "" "" + o.getClass().getName() + "": "" + o);"
"753","6787.txt","if (shell != null && !shell.isDisposed()) {","if (shell != null) {","if (shell != null) {"
"754","6795.txt","|| !rootInfo.project.equals(this.currentElement.getJavaProject())) { // note if currentElement is the IJavaModel, getJavaProject() is null","|| !this.currentElement.getJavaProject().equals(rootInfo.project)) {","element =  rootInfo == null ? JavaCore.create(resource) : JavaModelManager.create(resource, rootInfo.project);"
"755","6802.txt","if (!isConsistent()) { // TODO: (jerome) this code isn't synchronized with regular opening of a working copy","if (!isConsistent()) { // TODO: this code isn't synchronized with regular opening of a working copy","if (!exists()) {"
"756","6813.txt","this.scribe.printNextToken(TerminalTokens.TokenNameRBRACE, this.preferences.insert_space_between_empty_braces_in_array_initializer);","this.scribe.printNextToken(TerminalTokens.TokenNameRBRACE, false);","this.scribe.printNextToken(TerminalTokens.TokenNameLBRACE, this.preferences.insert_space_before_opening_brace_in_array_initializer);"
"757","6833.txt","this.tab_char = MIXED;","this.tab_char = SPACE;","this.tab_char = SPACE;"
"758","6838.txt","Level prio = cat.getLevel();","Priority prio = cat.getPriority();","Enumeration appenders = cat.getAllAppenders();"
"759","6860.txt","if (binding != null) {","if (binding != null && binding instanceof org.eclipse.jdt.internal.compiler.lookup.TypeBinding) { // TODO (olivier) Unnecessary instanceof check, the expression of type TypeBinding is already compatible with type TypeBinding","if (binding == null) {"
"760","6874.txt","pkgName= Util.splitOn('.', qualifiedTypeName, 0, index);","pkgName= Signature.getSimpleNames(qualifiedTypeName.substring(0, index));","int index= qualifiedTypeName.lastIndexOf('.');"
"761","688.txt","return this.binding.isInterface() && !this.binding.isTypeVariable() && !this.binding.isWildcard();","return this.binding.isInterface();","return this.binding.isClass() && !this.binding.isTypeVariable() && !this.binding.isWildcard();"
"762","6880.txt","if (refPart != null && (refPart instanceof PartPane || refPart instanceof PartPlaceholder)) {","if (refPart != null) {","if (refPart != null) {"
"763","6904.txt","import org.apache.tomcat.util.io.FileUtil;","import org.apache.tomcat.util.*;","import org.apache.tomcat.util.log.*;"
"764","6906.txt","{""button.add-operation"", ""Add Operation"" },","{""Add Operation"", ""Add Operation"" },","{""button.add-attribute"", ""Add Attribute"" },"
"765","6909.txt","return """"; //$NON-NLS-1$","return """"/*nonNLS*/;","return i;"
"766","6927.txt","if (searchPattern != null) {","if (searchPattern != null && limitTo == IJavaSearchConstants.REFERENCES) {","if (interfaces == null) {"
